#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
EC:3.6.3.20	3055.2047853014	3058.72092784394	3341.03048354117	3567.36315217146
EC:3.6.3.21	12522.1395923705	15423.5450633118	13492.1423804626	15951.3191657239
EC:3.6.3.22	0	1.55832682881921E-53	0	2.23301063644751E-53
EC:3.6.3.24	406.379453071053	0.353324007347028	10.7393403117886	7.69583004160658
EC:3.6.3.25	1606.23754131158	3582.23357175199	2162.89737050267	3212.05735361251
EC:3.6.3.27	28796.6453856589	32226.2359481079	32998.0420173266	30480.7916272454
EC:3.6.3.28	3581.22221056818	5102.38333208104	3873.53437050432	4187.82677354778
EC:3.6.3.29	12144.3349830362	13940.2232419042	13718.6203341426	13838.0889375693
EC:3.6.3.3	11387.9462521014	12441.0667167479	12330.1619659694	11385.6885696196
EC:3.6.3.30	17800.4981654908	19635.5971688508	20541.7701111695	20377.0317839058
EC:3.6.3.31	10418.9226141676	11015.140328818	11338.8790028361	10346.3647844472
EC:3.6.3.32	15899.0403934845	17146.9829405428	18602.6763200759	16155.1767379036
EC:3.6.3.33	9674.52999983583	10414.8074286777	11290.1299998067	9847.6246232701
EC:3.6.3.34	41853.600843731	44650.6812943399	46413.9615932021	44234.4877524113
EC:3.6.3.36	1076.82936285133	1141.86476628604	1418.30521161074	1996.57736907748
EC:3.6.3.4	9825.2682322612	12022.4464619336	11377.4191808531	10233.3314019026
EC:3.6.3.40	375.860369208526	276.171995025876	13.1013248246624	250.214832608411
EC:3.6.3.41	9752.04208122887	11732.307565903	11323.1211134725	10530.1285261569
EC:3.6.3.44	916.259535517327	952.538381300643	738.664168508132	635.187996245522
EC:3.6.3.5	11387.9462521014	12441.0667167479	12330.1619659694	11385.6885696196
EC:3.6.3.54	11613.2258397421	15231.9111000753	13293.01177913	13702.4181372276
EC:3.6.3.55	3017.4138731839	3157.81860854588	3507.38171540607	2959.33455812912
EC:3.6.3.6	0.067037050002892	3.605082207202E-16	3.51434488768222	5.16591690848935E-16
EC:3.6.3.8	2959.11669308469	3332.09974798181	1920.36229351523	2549.37871426987
EC:3.6.3.9	0	1.99957537912705E-51	0	2.86529950418205E-51
EC:3.6.4.12	104935.055386946	122643.425294829	118275.70719294	118070.656502002
EC:3.6.4.13	94411.308594484	109474.089510585	109342.281649186	100894.160301249
EC:3.6.4.6	3.3217314219447	1.12377163895485E-53	0	1.6103130462213E-53
EC:3.7.1.12	1629.34752053003	1466.52522045568	1043.81739386394	1402.97342704396
EC:3.7.1.13	0	1.66868911595393E-51	0	2.39115471538971E-51
EC:3.7.1.14	0	0.02422819577256	26.7045849687807	195.245613052736
EC:3.7.1.17	0	1.30511736060551E-48	5.04527695488065	1.87017312039266E-48
EC:3.7.1.19	0	1.29309464008126E-55	0	1.85294511512881E-55
EC:3.7.1.2	8930.47106762306	10885.9516603006	11085.7623586034	10748.547937231
EC:3.7.1.20	0	9.42697600103097	388.445448535004	232.511836961398
EC:3.7.1.21	0	5.96007213214999E-53	0	8.54050910178444E-53
EC:3.7.1.22	4285.35472766018	4262.32112890309	4619.21083927344	4009.29417126611
EC:3.7.1.3	323.579556512169	18	628.40955338419	1226.63911618313
EC:3.7.1.5	0.048166641028066	6.08703795418896E-54	1.73889931004258	8.7224452822025E-54
EC:3.7.1.8	0	3.33759555669121E-51	0	4.78262084719335E-51
EC:3.7.1.9	41.4246721279038	817.888786909545	4.70393405454593	317.59732811797
EC:3.8.1.2	1067.60096139813	1406.88160829258	982.349188268616	1106.17020506614
EC:3.8.1.3	0	10.354161878979	68.0754708846807	172.338744582644
EC:3.8.1.5	810.614498384864	844.719892359215	936.783139747789	822.530718456827
EC:3.8.1.8	0	1.53560264387171E-127	0	2.20044792511256E-127
EC:4.1.1.1	0	2.53091170990298E-52	0	3.62668001577389E-52
EC:4.1.1.11	780.359829045167	2172.92025308541	535.284573462091	1865.50346805913
EC:4.1.1.12	1700.47216890643	1694.18361276512	2104.29611064532	1822.01432461847
EC:4.1.1.15	18859.189696409	20235.4109958658	21954.9478072839	18910.0553708085
EC:4.1.1.17	8145.92513047314	10266.8127639861	9487.448175942	9026.90439898953
EC:4.1.1.18	1946.24539743284	1986.57152049443	1538.82979034219	1551.21906337186
EC:4.1.1.19	9729.95723806735	12969.8893965404	11342.9834530609	11087.0362291377
EC:4.1.1.2	0.016649536206685	0.647655322922834	0.141313669268386	0.928060274707831
EC:4.1.1.20	12367.1314945996	14524.5776889988	13871.9842613267	14053.4372439272
EC:4.1.1.21	0	1.11641187459577E-120	0	1.59976684256772E-120
EC:4.1.1.22	1783.77492860077	1842.15200809471	2486.34187625929	2838.81060548491
EC:4.1.1.23	10497.5902138726	12310.6443701888	11940.4914862541	12033.2735899795
EC:4.1.1.25	76.7891745311925	276.171948890795	0	1.39580014821133E-53
EC:4.1.1.28	0	9.968929933929	0.201331357897461	1.38843200824264
EC:4.1.1.29	0	6.84314614672491E-55	0	9.80591352840937E-55
EC:4.1.1.3	37135.9291828247	45686.9134534029	41902.5759196285	40169.6786595203
EC:4.1.1.31	9744.43356383682	11727.2510612552	11892.8465329541	11583.633468372
EC:4.1.1.32	0.128577898200794	9	562.98948545983	1191.69
EC:4.1.1.33	3.79504283766634	8.52154902043736E-50	29.1789151180556	195.210895163098
EC:4.1.1.35	5.13237960607078	29.5531582450465	0.164323631429141	71.3152335010366
EC:4.1.1.36	10489.2856028316	12303.6388220708	11934.1831960908	12041.1661935341
EC:4.1.1.37	11044.9141400158	12566.0661669198	12838.3949530858	13018.7157670594
EC:4.1.1.39	12.4704883089588	13.5	68.0000963472506	70.9806526839542
EC:4.1.1.4	1049.96157478527	913.056596100959	1215.10006120609	857.468026125657
EC:4.1.1.41	5.13237960607078	5.27185261297169E-11	0	3.36523350111218
EC:4.1.1.44	2013.47082715776	5970.96205457476	3582.31016791494	6596.76364109042
EC:4.1.1.45	0	9.05844743898356	20.1340309461746	68.0064497434329
EC:4.1.1.46	8.80417603156325	0.214232629572352	0	3.90175199883548
EC:4.1.1.47	68.0075586528575	1331.18241723804	68	611.269678318054
EC:4.1.1.48	11218.5526163424	13130.8784872811	12753.3673030734	12603.0899295226
EC:4.1.1.49	10198.4683399556	11773.7108843276	11324.7362320827	10834.710434266
EC:4.1.1.5	1300.58430118359	1426.61904105446	1537.36843159915	1345.30288476084
EC:4.1.1.50	671.422916444966	561.988804500849	124.886677617521	461.060117681573
EC:4.1.1.51	0	1.026176028719E-54	0	1.47046302779328E-54
EC:4.1.1.55	810.614498384864	829.865730480472	905.165319293807	779.341973874522
EC:4.1.1.6	0	3.63417038658479E-55	0	5.20759893099928E-55
EC:4.1.1.61	0	5.19442276273068E-54	0	7.44336878815837E-54
EC:4.1.1.64	0	6.0846317992127E-53	0	67.95
EC:4.1.1.65	10325.7482686561	11755.4430978328	11987.2057404601	12033.3572991256
EC:4.1.1.68	2283.69724424778	1867.49288109257	2302.63251764588	1998.25326572577
EC:4.1.1.69	0	2.4449006751716E-56	0	3.50343016095842E-56
EC:4.1.1.7	0	0.266446132987707	88.2409100055208	0.381805047566749
EC:4.1.1.70	33.1321242347513	7.47754383497186E-53	0.085735137725996	4.82387877903285
EC:4.1.1.71	0	2.11098233013603E-54	4.0751359537056	3.02494053838394E-54
EC:4.1.1.73	309.958807081004	519.656597650494	954.922186434507	1494.02579633134
EC:4.1.1.74	7563.41149618245	8176.28235380105	9345.507701487	8899.39715121871
EC:4.1.1.75	0	2.5665814797378E-51	0	3.67779315453769E-51
EC:4.1.1.76	0	3.18768496323813E-53	0	4.56780586518438E-53
EC:4.1.1.77	41.4246721279038	817.864471731279	39.652436967	317.562485586422
EC:4.1.1.79	0	9.79560462877787E-55	0.924681094469568	1.40366506704308E-54
EC:4.1.1.8	3.5185158622218	6.30060946565611E-12	0.613705570867501	9.0284834302524E-12
EC:4.1.1.81	689.814697775197	840.553119259401	38.2071977172696	545.965987807977
