# Constructed from biom file
#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
COBALSYN-PWY	10576.660687354932	12370.230159113027	11950.71363304142	12046.973636261217
CODH-PWY	148.12617585078544	0.0	0.16544827463349246	0.0
COLANSYN-PWY	2297.1330590257744	5135.064338218133	839.6036487789249	3666.7910888681768
COMPLETE-ARO-PWY	12655.193019733935	14910.219789780842	14482.760415441677	14639.41059463572
CRNFORCAT-PWY	0.007868203849037685	0.155301908078158	139.42091585628344	0.06032067257470717
DAPLYSINESYN-PWY	13991.834085158644	16221.736843994939	15875.038733709973	16281.26234867281
DENITRIFICATION-PWY	80.6205304652678	1317.5129453226207	0.5918214693375763	576.875099563268
DENOVOPURINE2-PWY	12578.060822271731	14615.307548756178	14286.783318696278	14304.49517432218
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	0.049280524904335786	0.0
DTDPRHAMSYN-PWY	10336.329358804138	13214.677312490847	11059.63563911812	11568.939607365914
ECASYN-PWY	0.0	39.71780794027625	0.0	236.44342077257969
ENTBACSYN-PWY	6517.864038562951	6894.207505412951	7743.497123601635	7638.739405392503
FAO-PWY	21757.40067910857	25948.4446992935	26020.37830268912	25210.9674845034
FASYN-ELONG-PWY	22779.272481351094	26190.686898855976	26476.627340619754	25710.523081647556
FASYN-INITIAL-PWY	16854.787187499915	20416.30648221231	19731.083158930098	20215.798460438033
FERMENTATION-PWY	15782.026050674187	18152.990182757672	18062.818814933988	17527.220170401062
FOLSYN-PWY	12536.817850948282	14697.918691375098	14617.767787519031	14596.162010909571
FUC-RHAMCAT-PWY	344.63502744599947	511.181679951194	3.435113683255306	660.2014086042902
FUCCAT-PWY	389.41962279099755	470.95114875713716	1.758809004938071	778.566367016804
GALACT-GLUCUROCAT-PWY	941.7062335851518	1009.3150529316482	64.71063514566407	1466.599638617326
GALACTARDEG-PWY	146.39705652304605	34.84509876619559	0.06512453893760096	707.1409793324725
GALACTUROCAT-PWY	3237.390473203125	3240.061587218413	2645.529187865493	3723.293103240889
GALLATE-DEGRADATION-I-PWY	0.0	0.11554691930077342	113.77086870723186	0.12496697463193956
GALLATE-DEGRADATION-II-PWY	0.0	0.11554691930077342	96.00280673363598	0.12496697463193956
GLCMANNANAUT-PWY	4993.209815493617	5055.761592693314	5214.087485375115	5542.553024532926
GLUCARDEG-PWY	177.6434239395891	34.989037510425106	0.06512590281948183	768.6308954036956
GLUCARGALACTSUPER-PWY	146.39705652304605	34.84509876619559	0.06512453893760096	707.1409793324725
GLUCONEO-PWY	15289.976635035031	17466.816220255092	17140.947234262367	17089.878341509684
GLUCOSE1PMETAB-PWY	10267.257186322264	12824.804540586998	11693.0273469624	11614.128869847487
GLUCUROCAT-PWY	2434.4063265487334	2725.7083873244796	1974.437867991094	3175.916797187154
GLUTORN-PWY	12334.963060859354	15024.091206712843	14074.001274807533	14042.259581258893
GLYCOCAT-PWY	10853.880544357751	13613.58670570141	11959.747759943266	11967.260957064622
GLYCOGENSYNTH-PWY	12038.697299682453	14193.931479071245	13133.253089279411	12843.914179739822
GLYCOL-GLYOXDEG-PWY	208.49615650589482	40.87866330368512	11.65715762581113	676.2522779267048
GLYCOLYSIS	16382.473566916104	18916.62428102938	18144.73784689578	18206.055221161692
GLYCOLYSIS-E-D	15644.47476933573	18694.647773384866	17566.350602544437	17582.40008046458
GLYCOLYSIS-TCA-GLYOX-BYPASS	4866.230740733048	10376.934168827578	6126.8211778233745	11506.419811857922
GLYOXYLATE-BYPASS	12218.300744831888	14199.58639239598	14095.09533366845	13964.52474253854
GOLPDLCAT-PWY	250.2756844688694	2.275999999999997e-12	0.8003093786198067	3.2613999999958845e-12
HCAMHPDEG-PWY	0.0	0.047833958006569796	9.014793086959143	121.39222381332453
HEME-BIOSYNTHESIS-II	10415.750193658962	12147.537954154752	12322.103045713226	12095.321172925936
HEMESYN2-PWY	12667.428719643758	14727.494559303193	14824.185176101635	14576.714849806627
HEXITOLDEGSUPER-PWY	1721.3825228192243	1752.680965954475	780.7469344646457	2078.323447063979
HISDEG-PWY	10555.466700326462	11066.024637533252	12334.854691297922	11761.219829063051
HISTSYN-PWY	10550.093494750457	12538.695674445127	11946.578328652833	11996.111188662619
HOMOSER-METSYN-PWY	12927.172846703439	13837.362069640518	14294.88688234563	12847.833597697803
HSERMETANA-PWY	13168.46192111399	15246.616447597986	15024.79298834727	14663.217767134354
ILEUSYN-PWY	14194.564253857772	16345.77589509177	16105.214916509634	16690.123878305047
KDO-NAGLIPASYN-PWY	11347.690416269408	13310.675603026657	13679.314589278976	13054.046725698769
KETOGLUCONMET-PWY	0.0	37.22745118326751	0.0	362.58168437531623
LACTOSECAT-PWY	0.5256804436434297	1.199999999999985e-15	0.7088618213313634	1.7999999999999997e-15
LEU-DEG2-PWY	7415.861952996591	9666.3812073991	9231.113308184073	9358.474525708782
LIPASYN-PWY	0.0	1.1599999999999986e-13	0.0	1.66e-13
LPSSYN-PWY	0.0	10.293612274208495	0.0	523.367950954057
MET-SAM-PWY	15717.391657458753	17314.15530106503	17594.954393941065	16547.113850961232
METH-ACETATE-PWY	74.1976761752091	0.0	0.0	28.288498618665866
METHGLYUT-PWY	0.058125814280835054	1.8808165608199732	1259.5955516194012	2457.358984589334
METHYLGALLATE-DEGRADATION-PWY	0.0	0.1444335754791589	142.13834153471444	0.1562086241498448
NAD-BIOSYNTHESIS-II	8.683874781080425	39.88803814426601	571.3432729045946	316.3057334379826
NADSYN-PWY	0.0	24.48936911528231	230.97574223893164	242.4136594148883
